Perplexity,Trustworthiness,Continuity,Quality_Score
80,0.9793570001951402,0.9774177620368295,0.9783873811159849
70,0.9794883461177307,0.9767645043805347,0.9781264252491327
90,0.9791673024931572,0.9770416876820875,0.9781044950876223
60,0.9795420327946337,0.9765851427521497,0.9780635877733916
100,0.9790035543559175,0.976508215787502,0.9777558850717097
50,0.9789965002476035,0.9759310648759502,0.9774637825617769
40,0.9793302586377821,0.9752999319866164,0.9773150953121992
30,0.9785920808083038,0.9741798058119333,0.9763859433101185
20,0.977213139155309,0.9728241071608458,0.9750186231580774
10,0.972512081069732,0.9695002134946644,0.9710061472821983
