cluster,patients,patient_percentage,mean_age,mean_apache_iva,mean_icu_los,mean_hospital_los,icu_mortality,hospital_mortality
0,360,4.707112970711297,67.24166666666666,75.53067484662577,3.9514429012345675,9.160524691358024,14.444444444444443,19.832402234636874
1,75,0.9806485355648535,58.346666666666664,75.01515151515152,4.517268518518519,10.239342592592592,18.666666666666668,28.767123287671232
2,2060,26.935146443514647,66.49271844660194,73.1372872048325,3.6767539778856526,8.338667071197412,13.009708737864079,19.262899262899264
3,2128,27.824267782426777,66.33176691729324,73.57386666666666,3.993548650271512,8.712220982142858,12.546992481203006,18.89838556505223
4,345,4.510983263598326,67.4144927536232,75.99688473520249,4.182964975845411,10.587894524959742,15.072463768115943,19.533527696793
5,637,8.32897489539749,66.13343799058084,72.71180555555556,4.89293018489447,10.377057169021453,11.930926216640502,20.408163265306122
6,517,6.759937238493724,61.63442940038685,77.24770642201835,4.161206479690522,9.729372179239201,12.959381044487428,21.936758893280633
7,178,2.3274058577405854,61.12921348314607,74.62913907284768,4.523018102372036,10.88504213483146,15.168539325842698,21.34831460674157
8,515,6.733786610878662,60.539805825242716,72.80335731414868,3.9652642934196334,9.56348975188781,11.650485436893204,18.83495145631068
9,560,7.322175732217573,65.94285714285714,72.13535353535353,4.6797160218253975,9.749885912698412,11.071428571428571,17.753623188405797
10,86,1.1244769874476988,59.81395348837209,70.18055555555556,4.655660529715762,12.500734819121448,19.767441860465116,22.093023255813954
11,187,2.4450836820083683,60.663101604278076,73.0253164556962,4.996011586452763,10.999795751633988,13.903743315508022,20.967741935483872
